dataset,threshold,k,frac_reads_unresolved,frac_reads_unknown_error,n_windows,frac_windows_fully_resolved,median_window_purity
080623_6D2S_qubit6,3 µs,1.0,0.3892828999211978,0.0,48,0.020833333333333332,0.25
080623_6D2S_qubit6,4 µs,1.0,0.7990543735224587,0.0,210,0.014285714285714285,0.0
080623_6D2S_qubit6,5 µs,1.0,0.7131599684791174,0.0,292,0.0,0.0
080623_6D2S_qubit6,6 µs,1.0,0.5445232466509062,0.0,249,0.008032128514056224,0.0
080623_6D2S_qubit6,7 µs,1.0,0.40031520882584715,0.0,183,0.02185792349726776,0.0
080623_6D2S_qubit6,8 µs,1.0,0.3112687155240347,0.0,147,0.013605442176870748,0.0
080623_6D2S_qubit6,9 µs,1.0,0.2616233254531127,0.0,118,0.01694915254237288,0.0
080623_6D2S_qubit6,10 µs,1.0,0.21828211189913319,0.0,0,,
080623_6D2S_qubit6,1 µs,2.0,0.2915681639085894,0.0,1,0.0,0.7084318360914106
080623_6D2S_qubit6,2 µs,2.0,0.5208825847123719,0.0,1,0.0,0.4791174152876281
